Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,163.15,167.72,151.71,163.07,5807600,154.47
2011-02-01,162.11,166.25,159.03,161.88,4938900,153.34
2011-01-03,147.21,164.35,146.64,162.00,6301400,152.85
2010-12-01,143.61,147.50,143.51,146.76,4380100,138.47
2010-11-01,143.64,147.53,141.18,141.46,5322400,133.47
2010-10-01,135.51,144.00,134.39,143.60,6939200,134.89
2010-09-01,125.31,136.11,124.52,134.14,5834200,126.00
2010-08-02,129.25,132.49,122.28,123.13,5591700,115.66
2010-07-01,123.55,131.60,120.61,128.40,7147600,120.02
2010-06-01,124.69,131.94,122.82,123.48,7728900,115.42
2010-05-03,129.39,133.10,116.00,125.26,9793300,117.08
2010-04-01,128.95,132.28,127.12,129.00,7271100,119.96
2010-03-01,127.50,130.73,125.20,128.25,6300000,119.26
2010-02-01,123.23,128.27,121.61,127.16,6210200,118.25
2010-01-04,131.18,134.25,121.90,122.39,8825300,113.31
2009-12-01,127.29,132.85,126.00,130.90,5849900,121.19
2009-11-02,120.77,128.94,119.50,126.35,5852500,116.97
2009-10-01,119.39,128.61,117.26,120.61,8692800,111.16
2009-09-01,117.67,122.88,115.15,119.61,6631200,110.24
2009-08-03,118.88,120.88,116.12,118.05,5615200,108.80
2009-07-01,105.00,119.37,99.50,117.93,8250000,108.19
2009-06-01,106.94,110.64,103.51,104.42,7637000,95.79
2009-05-01,103.78,106.82,99.83,106.28,7997800,97.50
2009-04-01,96.13,106.05,95.70,103.21,10679800,94.19
2009-03-02,91.17,99.86,83.02,96.89,13666700,88.42
2009-02-02,90.60,97.10,82.85,92.03,12859400,83.99
2009-01-02,83.89,94.94,81.76,91.65,10928800,83.19
2008-12-01,80.95,87.27,75.31,84.16,8886900,76.39
2008-11-03,92.64,94.76,69.50,81.60,11695800,74.07
2008-10-01,115.51,116.80,78.82,92.97,14151200,83.92
2008-09-02,122.87,124.00,109.95,116.96,11304900,105.57
2008-08-01,128.52,129.97,121.50,121.73,6865900,109.88
2008-07-01,117.50,130.93,116.60,127.98,9396900,115.07
2008-06-02,128.49,129.37,118.15,118.53,7654600,106.57
2008-05-01,121.06,129.99,120.78,129.43,8008100,116.37
2008-04-01,115.20,125.00,113.86,120.70,9100700,108.08
2008-03-03,113.86,119.79,111.80,115.14,9449500,103.10
2008-02-01,107.16,116.63,100.60,113.86,8837700,101.96
2008-01-02,108.99,108.99,97.04,107.11,12218000,95.55
2007-12-03,105.55,112.19,104.00,108.10,6994100,96.43
2007-11-01,115.50,116.09,99.27,105.18,10181900,93.83
2007-10-01,117.61,121.46,110.96,116.12,7777600,103.22
2007-09-04,116.34,118.89,114.30,117.80,7366000,104.71
2007-08-01,110.39,117.35,103.70,116.69,9118400,103.73
2007-07-02,105.39,118.82,104.58,110.65,10979700,98.01
2007-06-01,106.62,107.24,101.56,105.25,8410400,93.23
2007-05-01,102.06,108.05,101.35,106.60,6888100,94.42
2007-04-02,94.51,103.00,93.91,102.21,8842800,90.18
2007-03-01,90.25,95.81,88.77,94.26,7765100,83.17
2007-02-01,98.97,100.44,92.47,92.94,7261400,82.00
2007-01-03,97.18,100.90,94.55,99.15,9961100,87.22
2006-12-01,91.90,97.88,90.55,97.15,5446300,85.46
2006-11-01,92.50,94.05,90.43,91.92,5280900,80.86
2006-10-02,81.76,92.68,81.56,92.33,8165200,80.96
2006-09-01,81.13,83.79,79.31,81.94,5377300,71.85
2006-08-01,76.65,81.68,75.05,80.97,4550700,71.00
2006-07-03,77.54,78.53,72.73,77.41,7128500,67.61
2006-06-01,79.89,80.87,76.06,76.82,6698600,67.09
2006-05-01,82.59,83.69,79.06,79.90,5433200,69.78
2006-04-03,82.72,84.45,80.63,82.34,6432000,71.65
2006-03-01,80.20,84.99,79.51,82.47,5103300,71.77
2006-02-01,80.90,82.24,78.93,80.24,6158500,69.83
2006-01-03,82.45,85.03,80.21,81.30,7663100,70.57
2005-12-01,89.15,89.92,81.56,82.20,5976200,71.35
2005-11-01,81.85,89.94,80.64,88.90,5556400,77.17
2005-10-03,80.22,84.60,78.70,81.88,7019600,70.90
2005-09-01,80.16,82.11,76.93,80.22,5772200,69.47
2005-08-01,83.00,84.20,79.87,80.62,4801300,69.81
2005-07-01,74.30,85.11,74.16,83.46,8056500,72.10
2005-06-01,75.57,77.73,73.45,74.20,6439500,64.10
2005-05-02,76.88,78.11,72.50,75.55,6896900,65.27
2005-04-01,91.49,91.76,71.85,76.38,10709200,65.81
2005-03-01,92.64,93.73,89.09,91.38,5025600,78.73
2005-02-01,93.67,94.97,91.55,92.58,4455600,79.77
2005-01-03,98.97,99.10,91.44,93.42,5960900,80.34
2004-12-01,94.50,99.00,94.47,98.58,5043800,84.77
2004-11-01,89.33,96.63,89.23,94.24,5754800,81.04
2004-10-01,85.95,90.27,84.29,89.75,5839700,77.03
2004-09-01,84.05,87.28,83.24,85.74,4719200,73.59
2004-08-02,86.87,87.39,81.90,84.69,4298600,72.69
2004-07-01,88.28,88.44,83.42,87.07,5929000,74.57
2004-06-01,88.00,91.21,87.30,88.15,4604400,75.50
2004-05-03,88.13,89.75,85.12,88.59,5395500,75.88
2004-04-01,91.67,94.55,88.01,88.17,5507200,75.36
2004-03-01,96.50,97.60,90.28,91.84,5612900,78.50
2004-02-02,99.15,100.43,95.20,96.50,5392400,82.48
2004-01-02,92.86,99.85,89.01,99.23,7275300,84.68
